#
#
#
#
#
#
#
#   Quelldatei:groundel100-25.gxx  
#    Zieldatei:groundel100-25.dat  
#
#  Querschnitt:   170.410
#   Messlaenge:    15.000
#     [N/mm**2]            [N]        [%-ext]       [%-trav]            [s]           [mm]
#
         0.0            0.0            0.0            0.0            0.0          0.0
         0.0069         1.1800         0.1600         0.1600         0.1100       398.2320
         0.0067         1.1400         0.1600         0.1600         0.2300       398.2380
         0.0201         3.4200         0.4867         0.4867         0.3500       398.3550
         0.0345         5.8800         0.8067         0.8067         0.4700       398.4700
         0.0523         8.9200         1.3267         1.3267         0.5900       398.6410
         0.0757        12.9000         1.9733         1.9733         0.7100       398.8480
         0.0974        16.6000         2.5867         2.5867         0.8300       399.0590
         0.1174        20.0000         3.2067         3.2067         0.9500       399.2650
         0.1366        23.2800         3.7867         3.7867         1.0700       399.4730
         0.1549        26.4000         4.3667         4.3667         1.1900       399.6770
         0.1723        29.3600         4.9533         4.9533         1.3100       399.8810
         0.1894        32.2800         5.5667         5.5667         1.4300       400.0850
         0.2061        35.1200         6.2133         6.2133         1.5500       400.2920
         0.2223        37.8800         6.8267         6.8267         1.6700       400.5010
         0.2378        40.5200         7.3800         7.3800         1.7900       400.7040
         0.2521        42.9600         7.9600         7.9600         1.9100       400.9040
         0.2658        45.3000         8.5733         8.5733         2.0300       401.1050
         0.2798        47.6800         9.1600         9.1600         2.1500       401.3070
         0.2938        50.0600         9.8067         9.8067         2.2700       401.5120
         0.3068        52.2800        10.3867        10.3867         2.3900       401.7100
         0.3191        54.3800        11.0333        11.0333         2.5100       401.9060
         0.3314        56.4800        11.6200        11.6200         2.6300       402.1030
         0.3434        58.5200        12.2000        12.2000         2.7500       402.2990
         0.3547        60.4400        12.7800        12.7800         2.8700       402.4940
         0.3657        62.3200        13.4000        13.4000         2.9900       402.6870
         0.3766        64.1800        13.9800        13.9800         3.1100       402.8800
         0.3871        65.9600        14.5933        14.5933         3.2300       403.0720
         0.3977        67.7800        15.1800        15.1800         3.3500       403.2680
         0.4081        69.5400        15.8533        15.8533         3.4700       403.4640
         0.4178        71.2000        16.4400        16.4400         3.5900       403.6550
         0.4272        72.8000        17.0200        17.0200         3.7100       403.8430
         0.4365        74.3800        17.5733        17.5733         3.8300       404.0310
         0.4460        76.0000        18.1533        18.1533         3.9500       404.2230
         0.4549        77.5200        18.7333        18.7333         4.0700       404.4150
         0.4638        79.0400        19.3533        19.3533         4.1900       404.6090
         0.4730        80.6000        20.0000        20.0000         4.3100       404.8050
         0.4817        82.0800        20.6133        20.6133         4.4300       405.0000
         0.4893        83.3800        21.2267        21.2267         4.5500       405.1840
         0.4968        84.6600        21.8133        21.8133         4.6700       405.3690
         0.5043        85.9400        22.4267        22.4267         4.7900       405.5530
         0.5115        87.1600        23.0400        23.0400         4.9100       405.7370
         0.5185        88.3600        23.5933        23.5933         5.0300       405.9200
         0.5257        89.5800        24.2400        24.2400         5.1500       406.1040
    #	 
         0.5327        90.7800        25.0467        24.8867         5.2700       406.2880
    # 
         0.5223        89.0000        25.0467        25.4333         5.7800       406.4190
    # 
    #    0.5099        86.9000        25.4667        25.4667         6.2900       406.3830
    #    0.4954        84.4200        25.2733        25.2733         6.8000       406.2930
    #    0.4861        82.8400        25.1133        25.1133         7.3100       406.2390
    #    0.4803        81.8400        25.0800        25.0800         7.8200       406.2190
    #    0.4757        81.0600        25.0800        25.0800         8.3300       406.2100
         0.4717        80.3800        25.0467        25.0467         8.8400       406.2050
         0.4685        79.8400        25.0467        25.0467         9.3500       406.2040
         0.4655        79.3200        25.0467        25.0467         9.8600       406.2040
         0.4628        78.8600        25.0467        25.0467        10.3700       406.2040
         0.4602        78.4200        25.0467        25.0467        10.8800       406.2040
         0.4578        78.0200        25.0467        25.0467        11.3900       406.2040
         0.4556        77.6400        25.0467        25.0467        11.9000       406.2040
         0.4535        77.2800        25.0467        25.0467        12.4100       406.2040
         0.4517        76.9800        25.0467        25.0467        12.9200       406.2040
         0.4497        76.6400        25.0467        25.0467        13.4300       406.2040
         0.4481        76.3600        25.0467        25.0467        13.9400       406.2040
         0.4465        76.0800        25.0467        25.0467        14.4500       406.2040
         0.4449        75.8200        25.0467        25.0467        14.9600       406.2040
         0.4435        75.5800        25.0467        25.0467        15.4700       406.2040
         0.4421        75.3400        25.0467        25.0467        15.9800       406.2030
         0.4407        75.1000        25.0467        25.0467        16.4900       406.2030
         0.4394        74.8800        25.0467        25.0467        17.0000       406.2030
         0.4382        74.6800        25.0467        25.0467        17.5100       406.2030
         0.4371        74.4800        25.0467        25.0467        18.0200       406.2030
         0.4359        74.2800        25.0467        25.0467        18.5300       406.2030
         0.4347        74.0800        25.0467        25.0467        19.0400       406.2030
         0.4338        73.9200        25.0467        25.0467        19.5500       406.2030
         0.4327        73.7400        25.0467        25.0467        20.0600       406.2030
         0.4318        73.5800        25.0467        25.0467        20.5700       406.2030
         0.4308        73.4200        25.0467        25.0467        21.0800       406.2030
         0.4298        73.2400        25.0467        25.0467        21.5900       406.2030
         0.4290        73.1000        25.0467        25.0467        22.1000       406.2030
         0.4283        72.9800        25.0467        25.0467        22.6100       406.2030
         0.4272        72.8000        25.0467        25.0467        23.1200       406.2030
         0.4265        72.6800        25.0467        25.0467        23.6300       406.2030
         0.4257        72.5400        25.0467        25.0467        24.1400       406.2030
         0.4249        72.4000        25.0467        25.0467        24.6500       406.2030
         0.4242        72.2800        25.0467        25.0467        25.1600       406.2030
         0.4234        72.1600        25.0467        25.0467        25.6700       406.2030
         0.4226        72.0200        25.0467        25.0467        26.1800       406.2030
         0.4220        71.9200        25.0467        25.0467        26.6900       406.2030
         0.4213        71.8000        25.0467        25.0467        27.2000       406.2030
         0.4206        71.6800        25.0467        25.0467        27.7100       406.2030
         0.4200        71.5800        25.0467        25.0467        28.2200       406.2030
         0.4195        71.4800        25.0467        25.0467        28.7300       406.2030
         0.4188        71.3600        25.0467        25.0467        29.2400       406.2030
         0.4181        71.2400        25.0467        25.0467        29.7500       406.2030
         0.4175        71.1400        25.0467        25.0467        30.2600       406.2030
         0.4170        71.0600        25.0467        25.0467        30.7700       406.2030
         0.4164        70.9600        25.0467        25.0467        31.2800       406.2030
         0.4158        70.8600        25.0467        25.0467        31.7900       406.2030
         0.4154        70.7800        25.0467        25.0467        32.3000       406.2030
         0.4146        70.6600        25.0467        25.0467        32.8100       406.2030
         0.4142        70.5800        25.0467        25.0467        33.3200       406.2030
         0.4137        70.5000        25.0467        25.0467        33.8300       406.2030
         0.4132        70.4200        25.0467        25.0467        34.3400       406.2030
         0.4128        70.3400        25.0467        25.0467        34.8500       406.2030
         0.3823        65.1400        25.0467        25.0467        94.8500       406.2030
         0.3692        62.9200        25.0467        25.0467       154.8800       406.2030
         0.3610        61.5200        25.0467        25.0467       214.9100       406.2030
         0.3551        60.5200        25.0467        25.0467       274.9400       406.2030
         0.3506        59.7400        25.0467        25.0467       334.9700       406.2030
         0.3469        59.1200        25.0467        25.0467       395.0000       406.2030
         0.3439        58.6000        25.0467        25.0467       455.0300       406.2030
         0.3413        58.1600        25.0467        25.0467       515.0600       406.2030
         0.3391        57.7800        25.0467        25.0467       575.0900       406.2030
         0.3371        57.4400        25.0467        25.0467       635.0900       406.2030
         0.3353        57.1400        25.0467        25.0467       695.1200       406.2030
         0.3337        56.8600        25.0467        25.0467       755.1500       406.2030
         0.3323        56.6200        25.0467        25.0467       815.1800       406.2030
         0.3310        56.4000        25.0467        25.0467       875.2100       406.2030
         0.3298        56.2000        25.0467        25.0467       935.2400       406.2030
         0.3287        56.0200        25.0467        25.0467       995.2700       406.2030
         0.3276        55.8200        25.0467        25.0467      1055.2700       406.2030
         0.3266        55.6600        25.0467        25.0467      1115.3000       406.2030
         0.3257        55.5000        25.0467        25.0467      1175.3300       406.2030
